"filename", "language", "Shell Script", "Python", "C", "C++", "XML", "HTML", "JavaScript", "CSS", "Markdown", "LaTeX", "TeX", "Makefile", "XSL", "comment", "blank", "total"
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d5d/a00311_source.xml", "XML", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d66/_c_c_s_d_s___image___generator_8dir_2src_2image_8c_8o_8d.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d66/_c_c_s_d_s___image___generator_8dir_2src_2image_8c_8o_8d_source.xml", "XML", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 85
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d6e/_c_c_s_d_s___decompressor_8dir_2src_2load__constants_8c_8o_8d.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d6e/_c_c_s_d_s___decompressor_8dir_2src_2load__constants_8c_8o_8d_source.xml", "XML", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d6e/image__handler_8c.xml", "XML", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d6e/image__handler_8c_source.xml", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d79/encoder_8h.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d79/encoder_8h_source.xml", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d87/a00689.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d87/a00689_source.xml", "XML", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 95
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d88/a00128.xml", "XML", 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 209
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d88/a00128_source.xml", "XML", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d9c/perlin_8h.xml", "XML", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 86
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d9c/perlin_8h_source.xml", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/daa/a00638.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/daa/a00638_source.xml", "XML", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 88
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/dc1/a00092.xml", "XML", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 140
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/dc1/a00092_source.xml", "XML", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/dc6/a00347.xml", "XML", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 93
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/dc6/a00347_source.xml", "XML", 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 144
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/dd6/_c_c_s_d_s___compressor_8dir_2src_2header_8c_8o_8d.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/dd6/_c_c_s_d_s___compressor_8dir_2src_2header_8c_8o_8d_source.xml", "XML", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/ddf/_c_c_s_d_s___image___generator_8dir_2src_2constants_8c_8o_8d.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/ddf/_c_c_s_d_s___image___generator_8dir_2src_2constants_8c_8o_8d_source.xml", "XML", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/dfd/test___u_h_i_8c.xml", "XML", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/dfd/test___u_h_i_8c_source.xml", "XML", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d2/d04/a00281.xml", "XML", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d2/d04/a00281_source.xml", "XML", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d2/d1f/a00083.xml", "XML", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 87
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d2/d1f/a00083_source.xml", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d2/d3e/a00366.xml", "XML", 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 166
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d2/d4a/a00758.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d2/d4a/a00758_source.xml", "XML", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d2/d55/_c_c_s_d_s___image___generator_8dir_2src_2test___u_h_i_8c_8o_8d.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d2/d55/_c_c_s_d_s___image___generator_8dir_2src_2test___u_h_i_8c_8o_8d_source.xml", "XML", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d2/d56/a00384.xml", "XML", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 53
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d2/d6a/weights_8h.xml", "XML", 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 145
